old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
JB-PLG-extract-hardcoded-strings-only-IND;JB-ADD-EXTRACHSO-IND-1Y-USER;JetBrains;JetBrains Extract Hardcoded Strings Only (личная);ADD;EXTRACHSO;IND;1Y;USER;
JB-PLG-faker-quick-ORG;JB-ADD-FAKERQUICK-TEAM-1Y-USER;JetBrains;JetBrains Faker Quick;ADD;FAKERQUICK;TEAM;1Y;USER;
JB-PLG-faker-quick-IND;JB-ADD-FAKERQUICK-IND-1Y-USER;JetBrains;JetBrains Faker Quick (личная);ADD;FAKERQUICK;IND;1Y;USER;
JB-PLG-fast-request-api-buddy-http-client-ORG;JB-ADD-FASTRABHC-TEAM-1Y-USER;JetBrains;JetBrains Fast Request – API Buddy(HTTP client);ADD;FASTRABHC;TEAM;1Y;USER;
JB-PLG-fast-request-api-buddy-http-client-IND;JB-ADD-FASTRABHC-IND-1Y-USER;JetBrains;JetBrains Fast Request – API Buddy(HTTP client) (личная);ADD;FASTRABHC;IND;1Y;USER;
JB-PLG-fastshell-ORG;JB-ADD-FASTSHELL-TEAM-1Y-USER;JetBrains;JetBrains FastShell;ADD;FASTSHELL;TEAM;1Y;USER;
JB-PLG-fastshell-IND;JB-ADD-FASTSHELL-IND-1Y-USER;JetBrains;JetBrains FastShell (личная);ADD;FASTSHELL;IND;1Y;USER;
JB-PLG-feign-helper-ORG;JB-ADD-FEIGNHELPER-TEAM-1Y-USER;JetBrains;JetBrains Feign-Helper;ADD;FEIGNHELPER;TEAM;1Y;USER;
JB-PLG-feign-helper-IND;JB-ADD-FEIGNHELPER-IND-1Y-USER;JetBrains;JetBrains Feign-Helper (личная);ADD;FEIGNHELPER;IND;1Y;USER;
JB-PLG-files-manager-for-claude-ORG;JB-ADD-FILESMFC-TEAM-1Y-USER;JetBrains;JetBrains Files Manager for Claude;ADD;FILESMFC;TEAM;1Y;USER;
JB-PLG-files-manager-for-claude-IND;JB-ADD-FILESMFC-IND-1Y-USER;JetBrains;JetBrains Files Manager for Claude (личная);ADD;FILESMFC;IND;1Y;USER;
JB-PLG-find-in-files-favorites-ORG;JB-ADD-FINDIFF-TEAM-1Y-USER;JetBrains;JetBrains Find In Files (Favorites);ADD;FINDIFF;TEAM;1Y;USER;
JB-PLG-find-in-files-favorites-IND;JB-ADD-FINDIFF-IND-1Y-USER;JetBrains;JetBrains Find In Files (Favorites) (личная);ADD;FINDIFF;IND;1Y;USER;
JB-PLG-firebase-firestore-ORG;JB-ADD-FIREBAF-TEAM-1Y-USER;JetBrains;JetBrains Firebase Firestore;ADD;FIREBAF;TEAM;1Y;USER;
JB-PLG-firebase-firestore-IND;JB-ADD-FIREBAF-IND-1Y-USER;JetBrains;JetBrains Firebase Firestore (личная);ADD;FIREBAF;IND;1Y;USER;
JB-PLG-firebase-pro-ORG;JB-ADD-FIREBASEPRO-TEAM-1Y-USER;JetBrains;JetBrains Firebase Pro;ADD;FIREBASEPRO;TEAM;1Y;USER;
